artifact_id,artifact_type,name,upstream,revision,location,sha256,digest_algorithm,license,notice,use,vendoring,approval
river-source,source,River,https://github.com/blater/river,0.1.0-SNAPSHOT,repository:.,none,repository-head,AGPL-3.0,repository-file:LICENSE,product source,repository,approved:2026-08-09:project-owner-decision
gradle-distribution,tool,Gradle binary distribution,https://gradle.org,9.7.0,wrapper-cache,84fbba45c7f4c64abc77460e1c00f541e9f960e3c7ed2538f1ede19eacd873ae,sha256-file-v1,Apache-2.0,not-vendored,build tool distribution,fetched by wrapper,approved:2026-08-09:project-owner-decision
gradle-wrapper-jar,tool,Gradle wrapper JAR,https://gradle.org,9.7.0,repository:gradle/wrapper/gradle-wrapper.jar,497c8c2a7e5031f6aa847f88104aa80a93532ec32ee17bdb8d1d2f67a194a9c7,sha256-file-v1,Apache-2.0,artifact-file:META-INF/LICENSE,build bootstrap,repository,approved:2026-08-09:project-owner-decision
jackson-annotations,dependency,com.fasterxml.jackson.core:jackson-annotations,https://github.com/FasterXML/jackson,2.20,gradle-cache,959a2ffb2d591436f51f183c6a521fc89347912f711bf0cae008cdf045d95319,sha256-file-v1,Apache-2.0,not-vendored,benchmark artifact JSON transitive runtime,Gradle fetched,approved:2026-08-09:project-owner-decision
jackson-core,dependency,com.fasterxml.jackson.core:jackson-core,https://github.com/FasterXML/jackson-core,2.20.0,gradle-cache,bc0cf46075877201f8406ee7de2741ae7df6c066f5f0457bd80632a718c06e72,sha256-file-v1,Apache-2.0,not-vendored,benchmark artifact JSON transitive runtime,Gradle fetched,approved:2026-08-09:project-owner-decision
jackson-databind,dependency,com.fasterxml.jackson.core:jackson-databind,https://github.com/FasterXML/jackson,2.20.0,gradle-cache,a70e146a6bf2cba4f9cd367169787f50adcfbb57122bc2e9c8390cd0b397ac30,sha256-file-v1,Apache-2.0,not-vendored,benchmark artifact JSON validation,Gradle fetched,approved:2026-08-09:project-owner-decision
hdrhistogram,dependency,org.hdrhistogram:HdrHistogram,https://github.com/HdrHistogram/HdrHistogram,2.2.2,gradle-cache,22d1d4316c4ec13a68b559e98c8256d69071593731da96136640f864fa14fad8,sha256-file-v1,CC0-1.0 OR BSD-2-Clause,not-vendored,benchmark latency histograms,Gradle fetched,approved:2026-08-09:project-owner-decision
jmh-core,dependency,org.openjdk.jmh:jmh-core,https://github.com/openjdk/jmh,1.37,gradle-cache,dc0eaf2bbf0036a70b60798c785d6e03a9daf06b68b8edb0f1ba9eb3421baeb3,sha256-file-v1,GPL-2.0-with-classpath-exception,not-vendored,developer benchmark harness,Gradle fetched,approved:2026-08-09:project-owner-decision
jmh-generator,dependency,org.openjdk.jmh:jmh-generator-annprocess,https://github.com/openjdk/jmh,1.37,gradle-cache,6a5604b5b804e0daca1145df1077609321687734a8b49387e49f10557c186c77,sha256-file-v1,GPL-2.0-with-classpath-exception,not-vendored,developer benchmark annotation processing,Gradle fetched,approved:2026-08-09:project-owner-decision
jol-core,dependency,org.openjdk.jol:jol-core,https://github.com/openjdk/jol,0.17,gradle-cache,bd73d9ad265d8478ccde06130200877f3a4f0a6e2d44e7fb8cbb2e6f4104cbdc,sha256-file-v1,GPL-2.0-with-classpath-exception,not-vendored,developer object-layout evidence,Gradle fetched,approved:2026-08-09:project-owner-decision
jopt-simple,dependency,net.sf.jopt-simple:jopt-simple,https://github.com/jopt-simple/jopt-simple,5.0.4,gradle-cache,df26cc58f235f477db07f753ba5a3ab243ebe5789d9f89ecf68dd62ea9a66c28,sha256-file-v1,MIT,not-vendored,JMH transitive runtime,Gradle fetched,approved:2026-08-09:project-owner-decision
